age_group,gender_id,income_bracket,household_size,commute_minutes,orders_per_week,order_windows,avg_spend_aed,tip_pct,fav_cuisines,spice_level,max_radius_km,diet_style,allergens,pack_sustain_score,traceability_interest,pay_premium_cn,liked_features,sub_bundle_yesno,jar_return_likely,mood_menu_value,chef_live_interest,group_cart_value,reorder_nudge_optin,nps,adoption_timing,max_wait_min,fav_discount,primary_concern,badge_influence
25-34,Non-binary,20-35k,2,66,0-1,Dinner 18-22;Late night 22-02,74.22,15.3,Asian-street,4,10.4,Omnivore,None;Gluten,2,4,Maybe,Reusable-pack rewards;AI meal-builder;Mood-weather menu;Community impact badges;Freshness alerts,Yes,3,4,2,2,Yes,6,Immediately,37,Free delivery,Quality trust,4
25-34,Man,5-10k,6,14,2-3,Dinner 18-22,28.98,8.5,Indian,3,9.7,Vegan,None,4,4,No,Reusable-pack rewards;Dynamic off-peak pricing,Yes,4,2,2,4,No,10,Within 1 month,43,Free delivery,Delivery speed,3
35-44,Man,10-20k,1,6,2-3,Lunch 11-14;Dinner 18-22,82.85,0.9,Indian,3,5.6,Low-carb,Soy,3,3,Yes,Community impact badges;Reusable-pack rewards;Freshness alerts;Dynamic off-peak pricing;AI meal-builder,Yes,3,5,3,1,Yes,7,Immediately,44,Off-peak % discount,Delivery speed,3
35-44,Woman,35k+,3,36,0-1,Lunch 11-14,146.25,15.2,Asian-street,4,11.4,Omnivore,None,4,4,Maybe,AI meal-builder;Freshness alerts;Dynamic off-peak pricing;Mood-weather menu,Yes,3,5,4,4,Yes,6,1-3 months,45,Loyalty points,Other,3
18-24,Woman,<5k,6,28,4-5,Dinner 18-22,50.28,5.0,Healthy bowls;Desserts / Bakery;Western-comfort,2,6.0,Omnivore,None;Dairy,4,3,Maybe,Chef livestreams & AR plating guides;Mood-weather menu;Dynamic off-peak pricing;Freshness alerts,No,2,4,4,3,Yes,7,Immediately,48,Free delivery,App ease,3
25-34,Man,10-20k,2,35,0-1,Late night 22-02;Lunch 11-14,51.68,10.4,Desserts / Bakery;Indian;Arab,2,6.2,Omnivore,None;Soy,3,3,Maybe,Dynamic off-peak pricing;Mood-weather menu;Group cart & split pay,No,4,4,2,2,Yes,8,Immediately,32,Off-peak % discount,Delivery speed,4
18-24,Woman,10-20k,1,36,2-3,Breakfast 6-10;Snack 14-17;Dinner 18-22,46.35,11.4,Arab;Indian,1,9.1,Omnivore,None;Gluten,2,3,Yes,Dynamic off-peak pricing;Chef livestreams & AR plating guides;AI meal-builder;Community impact badges;Freshness alerts,Yes,4,2,1,3,Yes,9,Immediately,57,Off-peak % discount,Packaging waste,3
25-34,Woman,<5k,4,68,0-1,Lunch 11-14;Dinner 18-22,45.37,10.2,Healthy bowls;Arab,3,14.3,Omnivore,None;Nuts,3,5,Maybe,Reusable-pack rewards;Chef livestreams & AR plating guides,No,2,4,4,4,Yes,9,Immediately,44,Free delivery,App ease,4
35-44,Woman,5-10k,2,5,4-5,Dinner 18-22,85.35,4.9,Arab,2,9.3,Omnivore,None,3,2,No,Freshness alerts;Reusable-pack rewards;Mood-weather menu;Chef livestreams & AR plating guides;AI meal-builder,Yes,2,3,5,2,Yes,4,Immediately,43,Free delivery,Quality trust,3
25-34,Woman,<5k,5,41,4-5,Lunch 11-14;Dinner 18-22;Breakfast 6-10,106.71,9.2,Asian-street;Desserts / Bakery,2,8.1,Omnivore,Eggs;None,2,3,Yes,Dynamic off-peak pricing;Chef livestreams & AR plating guides,Yes,5,3,1,3,Yes,3,1-3 months,46,Free delivery,App ease,4
25-34,Woman,10-20k,1,62,6+,Breakfast 6-10,48.69,8.3,Desserts / Bakery;Arab;Western-comfort,3,5.9,High-protein,None;Nuts,3,3,Maybe,Mood-weather menu;Chef livestreams & AR plating guides;Dynamic off-peak pricing;Group cart & split pay;Reusable-pack rewards,Yes,4,3,1,2,Yes,8,Immediately,38,Loyalty points,Packaging waste,4
18-24,Man,10-20k,3,22,4-5,Dinner 18-22,96.98,0.0,Indian,2,8.7,Omnivore,None,3,5,No,Dynamic off-peak pricing;Mood-weather menu;Group cart & split pay,Yes,4,4,3,1,No,6,Within 1 month,34,Loyalty points,App ease,5
35-44,Man,20-35k,5,42,2-3,Lunch 11-14;Dinner 18-22;Late night 22-02,108.57,0.0,Desserts / Bakery,2,1.8,Vegetarian,Eggs;None,3,5,Maybe,Chef livestreams & AR plating guides;Mood-weather menu;Dynamic off-peak pricing;Community impact badges;Group cart & split pay,No,2,3,3,3,Yes,5,Immediately,25,Loyalty points,Delivery speed,3
35-44,Woman,20-35k,2,52,4-5,Late night 22-02,42.6,12.0,Western-comfort;Asian-street,3,12.9,Omnivore,Dairy;None,3,4,Yes,Group cart & split pay;Reusable-pack rewards;Mood-weather menu,Yes,4,3,3,2,Yes,5,Immediately,42,Free delivery,App ease,4
25-34,Woman,10-20k,3,17,2-3,Lunch 11-14;Snack 14-17,31.4,10.5,Indian,2,6.6,Omnivore,Nuts,3,4,Yes,Mood-weather menu;Chef livestreams & AR plating guides;Community impact badges,Yes,4,2,4,3,Yes,8,Within 1 month,23,Off-peak % discount,Delivery speed,4
25-34,Man,5-10k,2,17,0-1,Lunch 11-14;Dinner 18-22,46.81,12.2,Indian,1,15.2,Vegan,None,3,4,No,Dynamic off-peak pricing;Community impact badges;Chef livestreams & AR plating guides;AI meal-builder;Freshness alerts,No,3,4,4,3,Yes,8,1-3 months,37,Loyalty points,App ease,4
25-34,Man,20-35k,4,48,0-1,Dinner 18-22;Snack 14-17;Lunch 11-14,21.42,12.6,Desserts / Bakery;Asian-street;Healthy bowls,4,10.5,Vegan,Nuts,5,5,No,AI meal-builder;Reusable-pack rewards,Yes,4,5,2,5,Yes,7,Within 1 month,53,Free delivery,Delivery speed,5
45-54,Non-binary,5-10k,2,50,0-1,Dinner 18-22;Breakfast 6-10,59.45,16.9,Western-comfort,3,8.8,Vegetarian,Nuts;Dairy,2,3,Yes,AI meal-builder;Community impact badges;Freshness alerts;Group cart & split pay;Reusable-pack rewards,Yes,3,3,3,2,Yes,2,Not interested,27,Free delivery,Quality trust,2
25-34,Man,5-10k,2,30,2-3,Lunch 11-14;Dinner 18-22,72.13,7.8,Healthy bowls;Asian-street,3,6.3,Omnivore,None;Gluten,3,3,Yes,Dynamic off-peak pricing;Freshness alerts,Yes,4,5,2,5,Yes,10,Within 1 month,36,Off-peak % discount,Price,4
35-44,Woman,20-35k,7,35,2-3,Dinner 18-22,31.05,10.5,Western-comfort;Healthy bowls;Desserts / Bakery,1,11.7,High-protein,None;Gluten,4,4,Yes,Freshness alerts;AI meal-builder;Community impact badges;Group cart & split pay,No,3,4,4,5,Yes,5,Immediately,35,Free delivery,Quality trust,5
45-54,Woman,35k+,3,8,2-3,Lunch 11-14,52.01,18.8,Indian;Western-comfort;Asian-street,3,11.3,Pescatarian,Dairy;None,5,4,Maybe,Chef livestreams & AR plating guides;AI meal-builder;Dynamic off-peak pricing,Yes,2,3,4,3,Yes,10,After friends’ reviews,54,Loyalty points,Quality trust,3
55+,Woman,<5k,2,51,4-5,Late night 22-02;Lunch 11-14;Snack 14-17,51.94,0.0,Arab;Western-comfort;Indian,2,15.7,Omnivore,None;Eggs,3,2,Maybe,Group cart & split pay;Mood-weather menu;Freshness alerts;Chef livestreams & AR plating guides;AI meal-builder,Yes,2,3,3,3,Yes,8,Within 1 month,43,Free delivery,Delivery speed,4
35-44,Man,5-10k,4,43,0-1,Snack 14-17,59.33,4.3,Arab;Desserts / Bakery;Healthy bowls,2,11.4,Pescatarian,None;Soy,3,4,Maybe,Chef livestreams & AR plating guides;Dynamic off-peak pricing;AI meal-builder;Group cart & split pay,Yes,1,3,4,4,Yes,7,Immediately,47,Free delivery,Other,4
25-34,Man,10-20k,6,17,0-1,Lunch 11-14;Dinner 18-22,75.0,11.3,Desserts / Bakery,4,5.1,High-protein,None,3,3,No,Reusable-pack rewards;Community impact badges;Chef livestreams & AR plating guides,Yes,3,5,3,4,Yes,5,Immediately,35,Free dessert add-on,App ease,3
35-44,Man,5-10k,3,5,6+,Dinner 18-22;Lunch 11-14;Snack 14-17,193.82,15.7,Asian-street;Indian,4,6.2,Pescatarian,None;Gluten,3,3,Maybe,Chef livestreams & AR plating guides;AI meal-builder;Reusable-pack rewards;Community impact badges;Freshness alerts,No,3,4,3,5,Yes,9,After friends’ reviews,41,Free delivery,Price,5
18-24,Woman,5-10k,2,16,4-5,Dinner 18-22,69.25,6.1,Desserts / Bakery;Indian,2,12.7,Omnivore,Soy;None,4,4,Yes,AI meal-builder;Freshness alerts;Mood-weather menu;Group cart & split pay;Community impact badges,Yes,4,4,2,3,No,8,Not interested,44,Free delivery,Quality trust,3
18-24,Woman,20-35k,5,57,2-3,Snack 14-17;Lunch 11-14;Late night 22-02,45.48,0.8,Asian-street;Healthy bowls;Arab,1,9.4,Omnivore,Gluten,4,4,Maybe,Community impact badges;Freshness alerts;Group cart & split pay;Dynamic off-peak pricing,Yes,3,4,4,4,No,6,1-3 months,65,Off-peak % discount,Price,2
18-24,Woman,10-20k,1,22,6+,Dinner 18-22;Lunch 11-14,79.43,4.6,Arab;Indian,4,4.0,Omnivore,Soy;None,5,3,Maybe,Chef livestreams & AR plating guides;Freshness alerts;Community impact badges;Group cart & split pay;AI meal-builder,Yes,1,3,3,2,Yes,6,After friends’ reviews,50,Off-peak % discount,App ease,4
25-34,Woman,35k+,3,42,0-1,Breakfast 6-10;Late night 22-02;Snack 14-17,57.58,11.5,Western-comfort;Healthy bowls,3,7.0,Vegetarian,None;Dairy,5,4,Maybe,Chef livestreams & AR plating guides;Reusable-pack rewards;Group cart & split pay;Freshness alerts,Yes,5,5,3,3,Yes,9,Immediately,45,Loyalty points,Price,2
25-34,Woman,10-20k,2,33,4-5,Lunch 11-14,66.76,0.2,Asian-street,5,12.5,Vegan,Gluten,5,4,Yes,Group cart & split pay;Freshness alerts,Yes,4,3,4,5,Yes,10,Within 1 month,32,Loyalty points,Price,3
